id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
105514425,20e0ab60-1624-4ee8-99f8-7fbca0ef8a57,2021/12/18 8:05 PM -0500,2021-12-18,2021-12-19 01:05:00 UTC,Bogota,500735,khristimantis,Khristian Venegas Valencia,2022-01-24 19:58:47 UTC,2022-01-31 23:08:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/105514425,https://inaturalist-open-data.s3.amazonaws.com/photos/177054871/medium.jpg,,"",,2,0,false,,"Antioquia, CO",6.9514845376,-75.5662435284,,,,,31337,obscured,open,true,,,Salamandra magra,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
127037645,4b8c56d3-e673-445b-be0c-44ec016f47a9,2021-12-18 20:03:11,2021-12-18,2021-12-19 01:03:11 UTC,Bogota,5851164,carolinagomezs,©arolina Gómez,2022-07-20 01:48:36 UTC,2022-09-11 02:28:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/127037645,https://inaturalist-open-data.s3.amazonaws.com/photos/215623581/medium.jpeg,,"",,2,0,false,2,"Yarumal, Antioquia, Colombia",6.8960332359,-75.4411022365,211,,,,211,,open,false,gps,gps,Bolitoglossa vallecula,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
127073387,a76a59b4-efa6-420b-ad8d-2f64624f6138,2022-07-19 22:21:17,2022-07-19,2022-07-20 03:21:17 UTC,Bogota,5279444,rojo_pajarero,Jerson Marín,2022-07-20 10:53:34 UTC,2022-07-22 13:08:38 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/127073387,https://inaturalist-open-data.s3.amazonaws.com/photos/215690541/medium.jpeg,,"",,2,0,false,2,"Envigado, Antioquia, Colombia",6.1158974634,-75.5452510715,330,,,,330,,open,false,,,Tlaconetes lengua de hongo,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
130849548,24bd86f0-8d6a-43d2-bb72-3602f5a8dc91,2022-07-17 22:02:00-05:00,2022-07-17,2022-07-18 03:02:00 UTC,Bogota,5372439,salamandrita,Ana,2022-08-14 21:40:27 UTC,2024-04-22 16:11:40 UTC,needs_id,,https://www.inaturalist.org/observations/130849548,https://static.inaturalist.org/photos/222585723/medium.jpg,,"","",3,0,false,3,"La Linda, Carmen de Viboral, Antioquia, CO",5.9652275,-75.27880545,1470,,,,1470,,open,false,,,Yarmal Mushroom-tongue Salamander,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
149146061,21fc8090-85f1-445c-a280-1c490b4ca26c,2023/01/22 8:24 PM,2023-01-22,2023-01-23 01:24:00 UTC,Bogota,941385,dbocanumenthe,Daniel Bocanumenth E.,2023-02-19 17:04:56 UTC,2023-05-05 17:05:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/149146061,https://inaturalist-open-data.s3.amazonaws.com/photos/256955539/medium.jpg,,"",,2,0,false,,"Medellín, Antioquia, Colombia",6.2830049,-75.6786995,,,,,,,open,false,,,Salamandra magra,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
150521453,de843caf-449a-4e43-976a-11347c808d48,2022/10/12 7:43 PM,2022-10-12,2022-10-13 00:43:00 UTC,Bogota,449857,diegobotero,Diego A. Botero-Álvarez,2023-03-07 21:42:57 UTC,2024-03-22 13:51:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/150521453,https://inaturalist-open-data.s3.amazonaws.com/photos/259564781/medium.jpg,,"",,1,0,false,,"Medellín, Antioquia, Colombia",6.2138712031,-75.4992122145,3606,,,,3606,,open,false,,,Yarmal Mushroom-tongue Salamander,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
158916567,9a2c8c38-28ca-4d2e-aa8b-5739471d10ee,2017/11/12 11:05 PM,2017-11-12,2017-11-13 04:05:00 UTC,Bogota,3150,estebanalzate,Esteban Alzate Basto,2023-05-01 22:55:58 UTC,2024-04-15 14:56:03 UTC,research,,https://www.inaturalist.org/observations/158916567,https://static.inaturalist.org/photos/274568102/medium.jpeg,,"",,1,0,false,,"Belmira, Antioquia, Colombia",6.615788123,-75.6506334296,1184,,,,1184,,open,false,,,Salamandra magra,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
162385250,4684feac-d362-4b1b-bdd6-3692158d2fb9,2023-05-17 19:20:00,2023-05-17,2023-05-18 00:20:00 UTC,Bogota,1776186,carlosbranun,Carlos Bran Urabá Nature,2023-05-18 22:46:35 UTC,2023-05-20 22:16:17 UTC,research,,https://www.inaturalist.org/observations/162385250,https://static.inaturalist.org/photos/280774309/medium.jpeg,,"",,1,0,false,2,"Yarumal, Antioquia, Colombia",6.8298602553,-75.4907103628,32,,,,32,,open,false,gps,gps,Yarmal Mushroom-tongue Salamander,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
199143259,0ef10838-82e7-41d7-9f39-fac5e90ad650,2023/10/07 8:11 PM,2023-10-07,2023-10-08 01:11:00 UTC,Bogota,7424953,le-geme,Jorge Ivan Henao López,2024-02-12 23:14:02 UTC,2024-02-16 14:32:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/199143259,https://inaturalist-open-data.s3.amazonaws.com/photos/351141844/medium.jpg,,"",,1,0,false,,"Pensilvania, Caldas, Colombia",5.4589853084,-75.118299993,4,,,,4,,open,false,,,Salamandra magra,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
200974355,1502d9d2-1e45-4c2f-a5c3-6530906e6855,2024-03-01 13:50:51-05:00,2024-03-01,2024-03-01 18:50:51 UTC,Bogota,7470263,alpineflora,D. Hämmerli,2024-03-02 05:09:17 UTC,2025-09-29 08:57:39 UTC,research,,https://www.inaturalist.org/observations/200974355,https://static.inaturalist.org/photos/354687356/medium.jpg,,"","",1,0,false,3,"La Clara, Caldas, Antioquia, CO",6.0582805,-75.5943216667,45,,,,45,,open,false,,,Bolitoglossa vallecula,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
